REG NO,FIRST NAME,LAST NAME,REG STATUS
3449,Christine,Drinnan,Registered
3749,Michael,Drinnan,Registered
5882,Penny,Du Preez,Registered
2657,Pierre,du Toit,Registered
5203,Jenny,Duck,Registered
4897,Andrew,Duffin,Registered
3475,Fiona,Duffy,Registered
2294,John,Duncan,Registered
2969,Ross,Duncan,Registered
3258,Harvey,Duncan,Registered
2829,Jeremy,Dunlop,Registered
6042,Russell,Dunn,Registered
1849,John,Durkin,Registered
6176,Marco,Duthie,Registered
5325,Adam,Dwen,Registered
1724,Terry,Dykes,Registered
,,,
1989,Jane,Dykes,Registered
2139,Les,Dykstra,Registered
5446,John,Dymond,Registered
5374,Pamela,Dziwulska,Registered
3533,Gaynor,Eade,Registered
2643,Judy,Eden,Registered
2172,Paul,Edmond,Registered
4978,Nathan,Edmondston,Registered
2126,Gary,Edridge,Registered
2441,Megan,Edwards,Registered
2613,Grant,Edwards,Registered
4878,Melissa,Edwards,Registered
5350,Daniel,Eiem,Registered
5163,Ivan,Eiroa Santamarina,Registered
5777,Jurgen,Eisenhauer,Registered
2040,Peter,Eising,Registered
1334,Brian,Elliott,Registered
2330,Jim,Elliott,Registered
2358,Edwin,Elliott,Registered
6247,Ashleigh,Elliott,Registered
1907,Lloyd,Ellis,Registered
3657,Tamer,Elnady,Registered
1848,Bruce,Elton,Registered
3485,Simon,Elvidge,Registered
3443,Mitra,Emami,Registered
,,,
3041,Allan,Eng,Registered
5370,Pippa,Ensor,Registered
5642,David,Eqbal,Registered
3015,John,Ercolano,Registered
1836,Ron,Esveld,Registered
2532,Andrew,Evans,Registered
2777,Mike,Evans,Registered
5696,Guy,Evans,Registered
6000,Steve,Evans,Registered
3170,Justin,Evatt,Registered
5604,Kristin,Everett,Registered
4884,Matt,Every,Registered
4216,Dan,Eves,Registered
3773,Malcolm,Ewart,Registered
4909,Lindy,Ewart,Registered
4251,Ricardo,Eyherabide,Registered
2723,Kent,Fabian,Registered
4247,Nasim,Faghih,Registered
3122,Christopher,Fahrensohn,Registered
3209,Nicholas,Faith,Registered
6315,Julie,Faloon,Registered
3770,Kitty,Fan,Registered
2062,Graeme,Fanselow,Registered
5073,Caroline,Farnan,Registered
2438,Blair,Farquhar,Registered
,,,
2413,Michael,Farrant,Registered
5071,Bernard,Farrant,Registered
2793,Stacey,Farrell,Registered
1969,Polisi,Faumuina,Registered
3039,Virginia,Fay,Registered
4883,Michael,Fay,Registered
3123,Prue,Fea,Registered
2735,Jeffrey,Fearon,Registered
6081,Carinnya,Feaunati,Registered
5233,Vicky,Feng,Registered
2274,James,Fenton,Registered
1672,Neil,Fenwick,Registered
2956,Anton,Fenwick,Registered
5494,Tess,Fenwick,Registered
5209,Scott,Ferguson,Registered
5307,Praveen,Fernando,Registered
5457,Fabricio,Ferreira Fernandes,Registered
2360,Tim,Field,Registered
3210,Graeme,Finlay,Registered
5210,Hilary,Finn,Registered
2317,Michael,Fisher,Registered
4857,Henry,Fisher,Registered
4858,Hayley,Fisher,Registered
6218,Charlotte,Fisher,Registered
4889,Matthew,Fitzgerald,Registered
,,,
5630,Terese,Fitzgerald,Registered
2384,Wendy,Fitzpatrick,Registered
5431,Sean,Flanagan,Registered
3068,Matthew,Fleming,Registered
4876,Marie,Fleming,Registered
1914,Geoffrey,Fletcher,Registered
3097,Justin,Fletcher,Registered
2583,Yvonne,Forrest,Registered
3004,Angela,Foster,Registered
5324,Andre,Fourie,Registered
1776,Christopher,Fox,Registered
4205,Ron,Fox,Registered
5038,Rose,Fox,Registered
2970,Paul,France,Registered
2041,Paul,Francis,Registered
2244,Kerry,Francis,Registered
3753,Richard,Francis-Jones,Registered
3211,Jessamine,Fraser,Registered
5626,Jonathan,Fraser,Registered
5877,Annabel,Fraser,Registered
3172,Mark,Frazerhurst,Registered
6006,Kate,Frear,Registered
5000,Vicky,Freeman,Registered
5112,Glen,Frost,Registered
3716,Ali,Fuad,Registered
,,,
2925,Richard,Fuller,Registered
5002,Surya,Fullerton,Registered
2691,William,Fulton,Registered
4346,Anthony,Fung,Registered
6049,Claire,Furlong,Registered
5893,Shannon,Furness,Registered
6050,Ruth,Fyfe,Registered
2545,Gordon,Gallagher,Registered
1769,Ann,Galloway,Registered
5322,Aaron,Galloway,Registered
5472,Matteo,Garbagnati,Registered
2318,Mark,Garden,Registered
1291,Raiford,Gardiner,Registered
2206,Malcolm,Gardiner,Registered
2323,John,Gardiner,Registered
2566,Glenn,Gardiner,Registered
5018,Stephanie,Gardner,Registered
1916,Stuart,Gardyne,Registered
4955,David,Gasson,Registered
2080,David,Gatley,Registered
5907,Whitney,Geary,Registered
2459,Belinda,George,Registered
3262,Richard,George,Registered
3620,Jason,Gerrand,Registered
5511,Claire,Gesterkamp,Registered
,,,
5241,Stephen,Geuze,Registered
5291,Mary,Ghattas,Registered
4209,Jonathan,Gibb,Registered
5447,Katy,Gibb,Registered
5044,Brady,Gibbons,Registered
5280,Sarah,Gibbons,Registered
1598,David,Gibbs,Registered
1817,Stuart,Gibson,Registered
2941,Angela,Gibson,Registered
3046,Jason,Gibson,Registered
4358,William,Giesen,Registered
5303,Maria,Gigney,Registered
2296,Steve,Gilbertson,Registered
2758,Thom,Gill,Registered
2555,Ashley,Gillard-Allen,Registered
1696,Hunter,Gillies,Registered
1778,Lindsay,Gillies,Registered
3094,Todd,Gilmore,Registered
4293,Kate,Ginders,Registered
5353,Ernest,Girardi,Registered
2175,Tim,Gisler,Registered
2594,Morten,Gjerde,Registered
5751,Taulata,Gjerqeku,Registered
5058,Dominic,Glamuzina,Registered
5441,Jessica,Glen,Registered
,,,
1804,Rod,Glengarry,Registered
6140,Eleanor,Glenton,Registered
3155,Matthew,Glubb,Registered
2946,Geoffrey,Glynan,Registered
5182,Sowmya,Gnanasekaran,Registered
2605,Jenny,Goddard,Registered
5955,Gregory,Godsey,Registered
2870,Matthew,Godward,Registered
6150,Karen,Goedeke,Registered
2753,Richard,Goldie,Registered
5984,Susan,Goldsack,Registered
1547,Paul,Goldsmith,Registered
5355,Celia,Goldsmith,Registered
5388,Daniela,Gonzalez,Registered
4349,Justine,Goode,Registered
2363,Jeremy,Goodson,Registered
3404,Lance,Goodwin,Registered
1574,Richard,Gordon,Registered
5334,Brendon,Gordon,Registered
5672,Rebecca,Gordon,Registered
3774,Dion,Gosling,Registered
5556,Hannah,Gosling,Registered
5928,Patricia,Gosling,Registered
2847,Michael,Gould,Registered
3042,Lucy,Gould,Registered
,,,
5930,Simon,Gourley,Registered
5281,Szymon,Gozdzikowski,Registered
2855,Tony,Gracie,Registered
3069,Philip,Graham,Registered
3215,Mark,Graham,Registered
6024,Debbie,Graham,Registered
1517,John,Grant,Registered
2215,Max,Grant,Registered
2402,Andrew,Grant,Registered
3710,Matt,Grant,Registered
1728,Steve,Gray,Registered
1780,John,Gray,Registered
1833,Jeff,Gray,Registered
2322,Mark,Gray,Registered
3113,Travis,Gray,Registered
3340,Tony,Gray,Registered
4863,Jeremy,Gray,Registered
5671,Jimmy,Gray,Registered
5748,Elspeth,Gray,Registered
2297,Briar,Green,Registered
3213,Mark,Green,Registered
3570,Bruce,Green,Registered
5069,Andrew,Greenslade,Registered
3214,Diane,Greenwood,Registered
2689,Bill,Gregory,Registered
,,,
2502,Alex,Greig,Registered
2926,Philip,Grey,Registered
6104,Juli,Grey,Registered
5094,Mark,Gribble,Registered
5909,George,Grieve,Registered
5065,Hannah,Griffin,Registered
1990,Phillip,Grigg,Registered
6083,Hayden,Grindell,Registered
4885,Daniel,Grinter,Registered
3444,Renelle,Gronert,Registered
3070,Sera-Belinda,Grubb,Registered
5756,Matthew,Gruiters,Registered
5779,Philip,Guan,Registered
3763,Sharmila,Gubbi Shivarathri,Registered
5994,Dimitri,Gudgenov,Registered
2629,Robert,Guild,Registered
5733,Lola,Guirao Sanchez,Registered
3762,Miller,Guirguis,Registered
3546,Bernd,Gundermann,Registered
3071,Carolyn,Gundy,Registered
3160,Hamish,Gunns,Registered
2871,Julian,Guthrie,Registered
3072,Philip,Guy,Registered
5788,Stefan,Hack,Registered
1877,Christopher,Hadlee,Registered
,,,
4893,Ilona,Haghshenas-Lari,Registered
3092,Darryl,Haines,Registered
2849,Leonard,Halgryn,Registered
2008,Min,Hall,Registered
2708,Mark,Hall,Registered
2845,Gerrad,Hall,Registered
3569,Christine,Hall,Registered
4227,Simon,Hall,Registered
4237,Regan,Hall,Registered
6211,Catherine,Hall,Registered
5590,Sophie,Hamer,Registered
2234,Christopher,Hamill,Registered
5067,Trevor,Hamilton,Registered
3038,Faris,Hammady,Registered
5227,Joseph,Hampton,Registered
5382,Patricia,Han,Registered
1791,B,Haniel,Registered
1911,Richard,Hannam,Registered
2331,Mike,Hannaway,Registered
5405,Melanie,Hansen,Registered
5651,Paul,Hansen,Registered
3174,Jennifer,Hanson,Registered
3584,Abdus,Hansrod,Registered
2568,John,Hardwick-Smith,Registered
2957,Simon,Hardy,Registered
,,,
4880,Braden,Harford,Registered
4919,Kate,Harford,Registered
3637,David,Hargreaves,Registered
5954,Herman,Haringa,Registered
1602,Richard,Harris,Registered
1800,Grant,Harris,Registered
2572,Derek,Harris,Registered
2895,Sean,Harris,Registered
5154,Bevan,Harris,Registered
5279,Simon,Harrison,Registered
2828,Ngaio,Hart,Registered
3454,Mike,Hartley,Registered
2648,Aladina,Harunani,Registered
1888,Rodney,Harvey,Registered
3133,Elinor,Harvey McDouall,Registered
2892,tristan,harvey-smith,Registered
2355,Dominic,Hassan,Registered
3557,Shannon,Hatalafale,Registered
5977,Gillian,Hatch,Registered
5270,Amelia,Haughey,Registered
1558,Russell,Hawken,Registered
2688,Peter,Hawker,Registered
4960,John,Hawkins,Registered
2706,Jonathan,Hawksworth,Registered
2298,Ian,Hay,Registered
,,,
2898,Timothy,Hay,Registered
3748,Stuart,Hay,Registered
5615,Leandri,Hay,Registered
5864,James,Hay,Registered
6179,Jono,Hay,Registered
2998,Sarah,Hayden,Registered
5288,Kamelia,Haydon,Registered
